Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2018,New England,259
2018,Connecticut,243
2018,Maine,195
2018,Massachusetts,367
2018,New Hampshire,128
2018,Rhode Island,400
2018,Vermont,5
2018,Middle Atlantic,293
2018,New Jersey,252
2018,New York,211
2018,Pennsylvania,358
2018,East North Central,566
2018,Illinois,384
2018,Indiana,807
2018,Michigan,530
2018,Ohio,619
2018,Wisconsin,634
2018,West North Central,609
2018,Iowa,540
2018,Kansas,459
2018,Minnesota,484
2018,Missouri,806
2018,Nebraska,690
2018,North Dakota,734
2018,South Dakota,231
2018,South Atlantic,432
2018,Delaware,512
2018,District of Columbia,540
2018,Florida,433
2018,Georgia,424
2018,Maryland,407
2018,North Carolina,370
2018,South Carolina,291
2018,Virginia,351
2018,West Virginia,895
2018,East South Central,482
2018,Alabama,387
2018,Kentucky,841
2018,Mississippi,412
2018,Tennessee,359
2018,West South Central,484
2018,Arkansas,594
2018,Louisiana,497
2018,Oklahoma,400
2018,Texas,482
2018,Mountain,549
2018,Arizona,418
2018,Colorado,627
2018,Idaho,97
2018,Montana,554
2018,Nevada,353
2018,New Mexico,564
2018,Utah,725
2018,Wyoming,954
2018,Pacific Contiguous,168
2018,California,223
2018,Oregon,137
2018,Washington,91
2018,Pacific Noncontiguous,660
2018,Alaska,543
2018,Hawaii,735
2018,U.S. Total,449
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero. The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
