state,year,kilograms_of_co2_per_mwh
connecticut,2013,245
connecticut,2014,251
connecticut,2015,241
connecticut,2016,235
connecticut,2017,228
connecticut,2018,243
connecticut,2019,238
connecticut,2020,247
connecticut,2021,248
connecticut,2022,250
connecticut,2023,262
maine,2013,262
maine,2014,257
maine,2015,252
maine,2016,222
maine,2017,186
maine,2018,195
maine,2019,174
maine,2020,182
maine,2021,210
maine,2022,219
maine,2023,195
massachusetts,2013,448
massachusetts,2014,415
massachusetts,2015,418
massachusetts,2016,398
massachusetts,2017,385
massachusetts,2018,367
massachusetts,2019,396
massachusetts,2020,437
massachusetts,2021,431
massachusetts,2022,433
massachusetts,2023,420
new hampshire,2013,174
new hampshire,2014,177
new hampshire,2015,183
new hampshire,2016,131
new hampshire,2017,113
new hampshire,2018,128
new hampshire,2019,108
new hampshire,2020,106
new hampshire,2021,131
new hampshire,2022,136
new hampshire,2023,122
rhode island,2013,454
rhode island,2014,408
rhode island,2015,414
rhode island,2016,407
rhode island,2017,391
rhode island,2018,400
rhode island,2019,393
rhode island,2020,377
rhode island,2021,382
rhode island,2022,377
rhode island,2023,385
vermont,2013,2
vermont,2014,2
vermont,2015,6
vermont,2016,6
vermont,2017,7
vermont,2018,5
vermont,2019,3
vermont,2020,4
vermont,2021,5
vermont,2022,6
vermont,2023,4
new jersey,2013,244
new jersey,2014,270
new jersey,2015,260
new jersey,2016,272
new jersey,2017,240
new jersey,2018,252
new jersey,2019,266
new jersey,2020,244
new jersey,2021,241
new jersey,2022,244
new jersey,2023,235
new york,2013,246
new york,2014,248
new york,2015,236
new york,2016,233
new york,2017,200
new york,2018,211
new york,2019,188
new york,2020,207
new york,2021,227
new york,2022,246
new york,2023,237
pennsylvania,2013,479
pennsylvania,2014,462
pennsylvania,2015,424
pennsylvania,2016,395
pennsylvania,2017,371
pennsylvania,2018,358
pennsylvania,2019,338
pennsylvania,2020,314
pennsylvania,2021,331
pennsylvania,2022,324
pennsylvania,2023,298
illinois,2013,482
illinois,2014,478
illinois,2015,435
illinois,2016,385
illinois,2017,385
illinois,2018,384
illinois,2019,342
illinois,2020,274
illinois,2021,315
illinois,2022,290
illinois,2023,237
indiana,2013,905
indiana,2014,907
indiana,2015,856
indiana,2016,839
indiana,2017,828
indiana,2018,807
indiana,2019,759
indiana,2020,720
indiana,2021,748
indiana,2022,719
indiana,2023,680
michigan,2013,637
michigan,2014,602
michigan,2015,594
michigan,2016,523
michigan,2017,520
michigan,2018,530
michigan,2019,490
michigan,2020,499
michigan,2021,477
michigan,2022,498
michigan,2023,415
ohio,2013,746
ohio,2014,734
ohio,2015,687
ohio,2016,686
ohio,2017,668
ohio,2018,619
ohio,2019,568
ohio,2020,556
ohio,2021,548
ohio,2022,528
ohio,2023,475
wisconsin,2013,723
wisconsin,2014,717
wisconsin,2015,681
wisconsin,2016,630
wisconsin,2017,659
wisconsin,2018,634
wisconsin,2019,560
wisconsin,2020,540
