Year,Census Division and State,Kilograms of CO2 per Megawatthour of Generation
2021,New England,266
2021,Connecticut,248
2021,Maine,210
2021,Massachusetts,431
2021,New Hampshire,131
2021,Rhode Island,382
2021,Vermont,5
2021,Middle Atlantic,288
2021,New Jersey,241
2021,New York,227
2021,Pennsylvania,331
2021,East North Central,495
2021,Illinois,315
2021,Indiana,748
2021,Michigan,477
2021,Ohio,548
2021,Wisconsin,566
2021,West North Central,519
2021,Iowa,430
2021,Kansas,402
2021,Minnesota,392
2021,Missouri,775
2021,Nebraska,561
2021,North Dakota,641
2021,South Dakota,145
2021,South Atlantic,382
2021,Delaware,572
2021,District of Columbia,532
2021,Florida,391
2021,Georgia,351
2021,Maryland,315
2021,North Carolina,317
2021,South Carolina,256
2021,Virginia,295
2021,West Virginia,879
2021,East South Central,441
2021,Alabama,348
2021,Kentucky,803
2021,Mississippi,378
2021,Tennessee,343
2021,West South Central,428
2021,Arkansas,484
2021,Louisiana,465
2021,Oklahoma,344
2021,Texas,428
2021,Mountain,482
2021,Arizona,316
2021,Colorado,548
2021,Idaho,153
2021,Montana,512
2021,Nevada,333
2021,New Mexico,489
2021,Utah,698
2021,Wyoming,844
2021,Pacific Contiguous,176
2021,California,229
2021,Oregon,143
2021,Washington,100
2021,Pacific Noncontiguous,633
2021,Alaska,539
2021,Hawaii,700
2021,U.S. Total,402
"Notes:
The emissions data presented include total emissions from both electricity generation and the production of useful thermal output.
See Electric Power Annual, Appendix A, Technical Notes, for a description of the sources and methodology used to develop the emissions estimates.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Sources: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report; U.S. Energy Information Administration, Form EIA-860, 'Annual Electric Generator Report'; and calculations made by the Office of Electricity, Renewables, and Uranium Statistics, U.S. Energy Information Administration.",,
